id,titulo_original,puesto,empresa,portal,fecha_publicacion,salario_min,salario_max,experiencia_anios,categoria_rol,descripcion,es_simulado,habilidades
48,Netzwerk Engineer (m/w/d),Netzwerk Engineer,Medialine EuroTrade AG,Arbeitnow API,2026-07-10,,,,Soporte & IT,"Wir betreiben und entwickeln hochverfügbare Netzwerk-Infrastrukturen mit eigenem Autonomen System (AS) und mehreren Peering-Standorten. Unser Fokus liegt auf stabilen, sicheren und performanten Backbone-Verbindungen – mit modernen Technologien und Komponenten der Hersteller Juniper, Arista und Dell. Zur Verstärkung unseres Teams suchen wir einen Netzwerk Engineer (m/w/d) für unseren Standort Wiesbaden, der Verantwortung für Planung, Betrieb und Weiterentwicklung unserer Core- und Backbone-Umgebungen übernimmt. Aufgaben Planung, Betrieb und Optimierung von Backbone- und Rechenzentrumsnetzwerken",0,"Juniper,Arista,Dell,Backbone-Infrastrukturen,Netzwerk-Infrastruktur"
49,Senior Software Engineer (m/f/d) Perception & Autonomous Systems,Senior Software Engineer (Perception & Autonomous Systems),MOTOR Ai,Arbeitnow API,2026-07-10,,,,Backend,"The future of mobility isn’t just coming; we’re building it. At the heart of our mission is the drive to bring Level 4 autonomous technology to Germany. Our in-house AI is paving the way for Europe’s first certifiable system, backed by a team of experts who have been innovating hand-in-hand since 2017. We don't just follow trends - we lead the transformation. Tasks Design, develop, and optimize high-performance C++ software for real-time autonomous systems. This includes the implementation of ROS2 nodes, optimization of ROS2 processing pipelines, and continuous improvement of software architec",0,"C++,AI,ROS2,Autonomous Systems,Software Architecture"
50,Senior Software Engineer - Enterprise AI - Java / Angular (m/w/d),Senior Software Engineer - Enterprise AI,SquareNeo,Arbeitnow API,2026-07-10,,,,Fullstack,"Bist du bereit, deine Karriere auf das nächste Level zu heben? Du bist auf der Suche nach einer spannenden Herausforderung als Senior Software Engineer mit Fokus auf Enterprise Software und KI/LLM in einem dynamischen und wachsenden Start-up? Dann bist du bei SquareNeo genau richtig! Wir sind ein innovatives KI-Unternehmen mit einem motivierten Team, das mit Leidenschaft und Kreativität an der Spitze der Technologie arbeitet. Uns kontaktieren Unternehmen, wenn sie ihre Sales-Prozesse zu komplexen, variantenreichen Produkten durch KI-Lösungen auf ein neues Level heben wollen. Dazu entwickeln wi",0,"Java,Angular,Enterprise Software,KI,LLM"
51,Senior Full-Stack Engineer (Backend Focus) (m/w/d),Senior Full-Stack Engineer (Backend Focus),Evalion GmbH,Arbeitnow API,2026-07-10,,,,Fullstack,"Über Evalion & Gutachten(.)org Evalion ist eine digitale Plattform und ein Gutachtenbüro für hochwertige Immobiliengutachten. Mit unseren Marken Evalion(.)net (B2B) und Gutachten(.)org (B2C) schaffen wir einen einfachen Zugang zu professionellen Immobiliengutachten für Privatpersonen, Unternehmen und institutionelle Investoren – und bauen ein skalierbares Geschäftsmodell für den DACH-Markt auf. Langfristig entwickeln wir ein digitales Service-Ökosystem rund um die Immobilie mit integrierten Lösungen für Eigentümer:innen, Investor:innen und Unternehmen. Mit Evalion digitalisieren und modernisie",0,
52,Software Entwickler (m/w/d) Tool Update VS17,Software Entwickler,citema systems GmbH,Arbeitnow API,2026-07-10,,,,Backend,"Driving Digital Technologies. Den digitalen Wandel begleiten und aktiv mitgestalten – unsere Mission bei citema. Mit unseren innovativen Ansätzen beraten und unterstützen wir unsere Kunden in den Technologiefeldern Cyber Security, KI und Blockchain. Ebenso gehört die Umsetzung system- und sicherheitsrelevanter Softwareprojekte zu unserem Portfolio. So verbinden wir die neuen Technologien mit der klassischen Softwarewelt. Bei uns wird ein professionelles, kollegiales Miteinander mit Du-Kultur gelebt, denn unser exzellenter Teamgeist und die offene Kommunikation sind der Spirit unseres Unternehm",0,"Softwareentwicklung,Cyber Security,KI,Blockchain"
53,(Senior) Software Engineer - Device Connectivity (Go) (m/f/d),Senior Software Engineer - Device Connectivity,1KOMMA5˚,Arbeitnow API,2026-07-10,,,,Backend,"1KOMMA5° At 1KOMMA5° , we pursue a clear vision: Living on wind and sunlight forever for free . To make this a reality, we are building the energy system of the future with Heartbeat AI. Want to be part of it? We bring together regional craftsmanship and scalable software: We don't think of solar, batteries, heat pumps, and e-mobility as isolated components, but control them as an intelligent, integrated overall system in our virtual power plant. Directly connected to the electricity market – in real time, fully automated. This way, energy is used when it is available from renewables and parti",0,Go
54,"Software Developer (Junior) - Java, Groovy, ScriptRunner, JavaScript/TypeScript, Forge (m/w/d)",Software Developer Junior,MESKRU GmbH,Arbeitnow API,2026-07-10,,,,Backend,"Die MESKRU GmbH ist eine Atlassian Beratung mit Fokus auf Jira, Confluence und Jira Service Management. Wir bauen skalierbare Plattformen, automatisieren Prozesse und entwickeln Erweiterungen dort, wo Standardfunktionen nicht ausreichen. Wenn du Java, Git, REST, ScriptRunner wirklich beherrschst und Groovy sauber und wartbar implementierst, passt du fachlich hervorragend zu uns. Aufgaben Deine Mission Du übernimmst die technische Verantwortung für Lösungen in Jira und Jira Service Management. Du entwirfst robuste Automationen, entwickelst Integrationen und bringst bestehende Kunden Setups in e",0,"Java,JavaScript,Groovy,ScriptRunner,TypeScript,Forge,Git,REST,Jira,Jira Service Management,Confluence"
55,Founding Engineering Team Lead (HandsOn),Founding Engineering Team Lead,Techbiz Global,Arbeitnow API,2026-07-10,,,,Gestión & Agile,"A newly funded cybersecurity startup in Berlin is looking for a Engineering Team Lead to join as a founding team member and help design the core security, identity, and enforcement foundations of a next-generation AI-powered risk management platform. We are an early-stage startup founded by experienced cybersecurity leaders with backgrounds in Israeli intelligence units. We are looking for a hands-on Founding Engineering Team Lead for a hybrid role based in central Berlin. If you are passionate about cybersecurity and AI, thrive in fast-paced startup environments, and enjoy building complex pl",0,"AI,Cybersecurity,Risk Management Systems"
56,Founding Engineer (w/m/d),Founding Engineer,Skalar,Arbeitnow API,2026-07-10,,,,Fullstack,"TL;DR Founding Engineer. Build v1 -> v10. Join the early core team of experienced entrepreneurs (scaled to millions of users, $100m+ exits). Build the future of tax & accounting with AI. Ship features end-to-end, influence the stack, and lay the foundations for scale. Grow into leadership as we expand across countries. Above-market pay + meaningful equity. The opportunity How taxation, accounting and payroll work today is a pain for everyone. Still every business must do it continuously. It is the backbone that our economy runs on. Enabled through AI, we are turning this often-painful process ",0,"AI,Fullstack development"
57,"Senior Python Engineer - CAD, 3D Geometry & Machine Learning (m/w/d)",Senior Python Engineer,TOOLPLACE GmbH,Arbeitnow API,2026-07-10,,,,Backend,"Bei TOOLPLACE GmbH digitalisieren wir die Beschaffung in der Kunststoffindustrie und machen sie effizienter, nachhaltiger und zukunftsfähiger. Unsere Vision: Eine KI-gestützte B2B-Plattform, die Lieferantensuche, RFQ-Prozesse und Projektmanagement neu denkt. Für die Weiterentwicklung unserer Plattform suchen wir einen erfahrenen Senior Python Engineer mit fundierter Erfahrung in der Verarbeitung von CAD- und 3D-Daten. Du entwickelst zentrale Komponenten für die geometrische Analyse von Kunststoffbauteilen und verbindest klassische Softwareentwicklung mit Machine Learning und modernen KI-Techno",0,"Machine Learning,Python,CAD,3D Geometry"
58,System Engineer Cloud & Datacenter Services (m/w/d),Data Analyst / Scientist,Manß & Partner GmbH,Arbeitnow API,2026-07-10,,,1.0,Data & Analytics,"Aktuell suchen wir ab sofort einen System Engineer (m(w/d) für einen unserer Partner mit Schwerpunkt Cloud & Datacenter Services. Es geht um eine ANÜ-Tätigkeit im Automobilzuliefer-Umfeld am Standort Mönchengladbach . Aufgaben Aktive Mitgestaltung der Geschäftsprozessautomatisierung und Unterstützung der weltweiten Zusammenführung und Harmonisierung der IT Infrastruktur Beratung und Unterstützung der Fachbereiche bei der Migration der Businessservices in die Cloud Verantwortung für die Architektur, Konzeption, Vorbereitung und Umsetzung von IT Lösungen im Cloud und OnPrem Umfeld Mögliche Übern",0,"Excel,SQL"
59,Senior Software Developer (m/w/d),Senior Software Developer,AndCompany GmbH,Arbeitnow API,2026-07-10,,,,Fullstack,"Wir sind actum – ein mittelständisches IT-Unternehmen mit einem klaren Fokus: Wir entwickeln maßgeschneiderte Softwarelösungen, die die individuellen Prozesse unserer Kunden präzise abbilden. Unsere Lösungen entstehen direkt aus der Praxis – aus langjährigen Kundenbeziehungen und echten Herausforderungen. Dabei geht es uns nicht um schnelle Sparmaßnahmen, sondern um nachhaltigen Mehrwert: flexibel, skalierbar und mit schnellem Return on Invest. Ob Prozessautomatisierung, Komplexitätsreduktion oder UX und Prototyping – wir begleiten unsere Kunden mit spezialisierten Modulen und einem Team, das ",0,"Software Development,Prozessautomatisierung,UX,Prototyping"
60,(Senior) Full Stack Java Entwickler (m/w/d),Senior Full Stack Java Entwickler,MY Humancapital GmbH,Arbeitnow API,2026-07-10,,,,Fullstack,"(Senior) Full Stack Java Entwickler (m/w/d) - Vollzeit | München | Homeoffice-Möglichkeit Im Auftrag unseres Partnerunternehmens in München suchen wir Sie zum nächstmöglichen Zeitpunkt als „(Senior) Full Stack Java Entwickler (m/w/d)“. Aufgaben Sie entwickeln Geschäftsprozessanwendungen im Gesundheitswesen und arbeiten in agilen Softwareentwicklungsprojekten mit Als Full Stack Entwickler konzipieren, implementieren und testen Sie moderne Anwendungen mit Java im Backend sowie JavaScript-Technologien im Frontend Darüber hinaus beraten Sie Fachbereiche bei Prozessanalysen und entwickeln effizient",0,"Java,JavaScript"
61,Software-Entwickler:in / Mentor:in (AI Software Engineering Bootcamp),Software Developer / Mentor (AI Software Engineering Bootcamp),Digitale Leute School,Arbeitnow API,2026-07-10,,,,Backend,"Die Digitale Leute School ist Teil der Digitale-Leute-Plattform – einem führenden Netzwerk für Produkt-, Design- und Tech-Professionals in Deutschland. Wir bilden in intensiven Online-Bootcamps die nächste Generation von AI Software Engineers, Product Managern und Product Designern aus. Unser Ziel: Talente fit machen für die Arbeit in modernen Tech-Teams – mit echten Projekten, Live-Sessions und Mentor:innen aus der Praxis. Deine Rolle: Als Mentor:in im AI Software Engineering Bootcamp begleitest du Teilnehmende auf ihrem Weg in die Tech-Branche. Du bist ihr Sparringspartner, Coach und Ansprec",0,"AI,Software Engineering"
62,Software-Entwickler:in / Mentor:in (AI Software Engineering Bootcamp),Software-Entwickler:in / Mentor:in (AI Software Engineering Bootcamp),Digitale Leute School,Arbeitnow API,2026-07-10,,,,Fullstack,"Die Digitale Leute School ist Teil der Digitale-Leute-Plattform – einem führenden Netzwerk für Produkt-, Design- und Tech-Professionals in Deutschland. Wir bilden in intensiven Online-Bootcamps die nächste Generation von AI Software Engineers, Product Managern und Product Designern aus. Unser Ziel: Talente fit machen für die Arbeit in modernen Tech-Teams – mit echten Projekten, Live-Sessions und Mentor:innen aus der Praxis. Deine Rolle: Als Mentor:in im AI Software Engineering Bootcamp begleitest du Teilnehmende auf ihrem Weg in die Tech-Branche. Du bist ihr Sparringspartner, Coach und Ansprec",0,AI Software Engineering
63,"Senior Data Scientist, Consumer Core",Senior Data Scientist,Wolt - English,Arbeitnow API,2026-07-10,,,,Data & Analytics,"About Wolt At Wolt, we create technology that brings joy, simplicity and earnings to the neighborhoods of the world. In 2014 we started with delivery of restaurant food. Now we're building the delivery of (almost) everything and you'll find us in over 500 cities in 30 countries around the world. In 2022 we joined forces with DoorDash and together we keep on dreaming big and expanding across the globe. Working at Wolt isn't always easy, but it's definitely exciting. Here you'll learn more, build more, and ship more than in most other companies. You'll be challenged a lot, but also have a lot of",0,
64,Engineering Manager (m/f/d) - FlixTech Marketing teams,Engineering Manager,Flix,Arbeitnow API,2026-07-09,,,,Gestión & Agile,"At Flix, we offer a dynamic work environment with competitive pay, strong growth opportunities, and a tech-driven approach to making travel more accessible, sustainable, and affordable. As an Engineering Manager in our Demand Division you will make an impact by leading 2 tech teams which are contributing to data products that empower Marketing teams to measure Marketing spend, steer budget decisions and improve customer retention. We are trailblazers in data-driven Marketing. We firmly believe that successful Marketing is rooted in high-quality data, and our commitment to support Marketing bus",0,data products
65,Engineering Manager (m/f/d) - FlixTech Marketing teams,Engineering Manager,Flix,Arbeitnow API,2026-07-09,,,,Gestión & Agile,"At Flix, we offer a dynamic work environment with competitive pay, strong growth opportunities, and a tech-driven approach to making travel more accessible, sustainable, and affordable. As an Engineering Manager in our Demand Division you will make an impact by leading 2 tech teams which are contributing to data products that empower Marketing teams to measure Marketing spend, steer budget decisions and improve customer retention. We are trailblazers in data-driven Marketing. We firmly believe that successful Marketing is rooted in high-quality data, and our commitment to support Marketing bus",0,"data products,marketing analytics,budget steering"
66,"Senior System Engineer (Cloud Native, 80-100%, Remote) - ID260710",Senior System Engineer,Adfinis AG,Arbeitnow API,2026-07-10,,,,DevOps & Cloud,"Adfinis ist ein international tätiges IT-Dienstleistungsunternehmen mit Hauptsitz in der Schweiz, das derzeit weltweit rund 150 Mitarbeitende beschäftigt. Als Open-Source-Spezialisten treiben wir seit über 25 Jahren die digitale Transformation durch offene Standards und Technologien voran und gestalten eine Welt innovativer, nachhaltiger und resilienter IT-Lösungen, die auf zuverlässiger Open-Source-Technologie basieren. Unser deutsches Team, bestehend aus rund 15 Personen, arbeitet eng mit Kunden zusammen, um sie auf ihrem organisatorischen und technischen Weg in die Cloud-Native-Welt zu unte",0,"Cloud Native,Open Source"
67,"Professional System Engineer (Cloud Native, 80-100%, Remote) - ID260709",Professional System Engineer,Adfinis AG,Arbeitnow API,2026-07-09,,,,DevOps & Cloud,"Adfinis ist ein international tätiges IT-Dienstleistungsunternehmen mit Hauptsitz in der Schweiz, das derzeit weltweit rund 150 Mitarbeitende beschäftigt. Als Open-Source-Spezialisten treiben wir seit über 25 Jahren die digitale Transformation durch offene Standards und Technologien voran und gestalten eine Welt innovativer, nachhaltiger und resilienter IT-Lösungen, die auf zuverlässiger Open-Source-Technologie basieren. Unser deutsches Team, bestehend aus rund 15 Personen, arbeitet eng mit Kunden zusammen, um sie auf ihrem organisatorischen und technischen Weg in die Cloud-Native-Welt zu unte",0,"Cloud Native,Open Source"
68,Electrical Engineer (m/f/d),Electrical Engineer,ANGEHEUERT GmbH Personalberatung,Arbeitnow API,2026-07-09,,,,Soporte & IT,"Help develop the technology that could change how the world generates renewable energy. Our client is a fast growing GreenTech startup based in Mils, Austria, developing one of the world’s first scalable road power plants. By transforming existing road infrastructure into a new source of renewable energy , the team is creating a completely new way of generating clean electricity without additional land use. As an Electrical Engineer , you will help bring this breakthrough technology from prototype to international deployment. Working closely with mechanical, software, hydraulic and physics eng",0,"Mechanical engineering,Software engineering,Hydraulic engineering,Physics"
69,Embedded Software Engineer (m/f/d),Embedded Software Engineer,ANGEHEUERT GmbH Personalberatung,Arbeitnow API,2026-07-09,,,,Backend,"Help develop the embedded software behind one of the world's first scalable road power plants. Our client is a fast growing GreenTech startup based in Mils, Austria, developing one of the world's first scalable road power plants. By transforming existing road infrastructure into a new source of renewable energy , the team is creating a completely new way of generating clean electricity without additional land use. As an Embedded Software Engineer , you will develop the embedded software that controls this groundbreaking technology and helps bring it from prototype to international deployment. ",0,"C++,Embedded Software Development,C"
70,Freelance SAP MaKo Cloud Consultants (m/w/d) | 100% Remote | Europa-weit,SAP MaKo Cloud Consultant,Pertemps ERP,Arbeitnow API,2026-07-09,,,2.0,DevOps & Cloud,Du bist im SAP Utilities Umfeld unterwegs und hast Erfahrung mit Marktkommunikation (MaKo Cloud) ? Dann könnte dieses Projekt interessant für dich sein. Gesucht werden SAP MaKo Cloud Consultants auf Freelance-Basis – vom erfahrenen Consultant bis zum Solution Architect. Voraussetzung sind mindestens 2 Jahre praktische Erfahrung im SAP Utilities Umfeld. Aufgaben Beratung und Umsetzung von Projekten im Bereich SAP Marktkommunikation (MaKo Cloud) Analyse und Optimierung energiewirtschaftlicher Prozesse Mitarbeit bei S/4HANA-Transformationen und SAP Utilities Projekten Konzeption und Integration v,0,"SAP Utilities,SAP MaKo Cloud,S/4HANA"
71,Voice AI Engineer (all genders),Voice AI Engineer,NFON,Arbeitnow API,2026-07-09,,,,Data & Analytics,"Dein neuer Job Du baust Stimmen. Nicht konfigurieren, nicht API anbinden – wirklich bauen. Bei botario entwickelst du die Text-To-Speech- und Speech-To-Text-Systeme hinter unseren Voice Agents: Stimmen, die natürlich klingen, in Echtzeit antworten und auch dann verstehen, wenn es am anderen Ende nuschelt. Woran du mitwirken wirst Du baust und verbesserst unsere eigenen TTS und STT-Systeme – vom Modell bis zur Streaming-Inferenz Du optimierst auf niedrige Latenz: Time-to-First-Audio, Streaming-Synthese, effizientes Serving – jede Millisekunde zählt Du arbeitest an Stimmqualität und Natürlichkei",0,"Text-To-Speech,Speech-To-Text,Streaming-Inferenz,Modellierung,Latenzoptimierung"
72,Voice AI Engineer (all genders),Voice AI Engineer,NFON,Arbeitnow API,2026-07-09,,,,Data & Analytics,"Your new role Build voices that power real conversations. At botario, you'll develop the text-to-speech and speech-to-text systems behind our AI Voice Agents—from the underlying models to low-latency, production-ready deployment. You'll help create voice experiences that sound natural, respond in real time, and perform reliably even in challenging real-world conditions. The work you‘ll do Develop and continuously improve our proprietary text-to-speech (TTS) and speech-to-text (STT) systems, from model development to real-time streaming inference. Optimize latency across the entire voice pipeli",0,"Text-to-Speech (TTS),Speech-to-Text (STT),AI Voice Agents,Real-time streaming inference,Low-latency deployment"
73,Machine Learning Engineer (all genders),Machine Learning Engineer,NFON,Arbeitnow API,2026-07-09,,,,Data & Analytics,"Dein neuer Job Modelle trainieren, die wirklich in Produktion laufen – nicht nur im Notebook. Bei botario entwickelst du die ML-Systeme hinter unseren AI Agents: vom ersten Experiment über das Training bis zum effizienten Serving. Unser Anwendungsfeld ist spannend, bewegt sich schnell und du wächst mit jedem Modell, das du baust. Woran du mitwirken wirst Du entwickelst, trainierst und finetunest Deep-Learning-Modelle – von ersten Experimenten bis zum produktiven Einsatz Du verfolgst die Open-Source- und Research-Landschaft, evaluierst neue Modelle und Architekturen und baust auf den besten Ide",0,"Machine Learning,Deep Learning,Model Training,Fine-tuning,AI Agents"
74,Machine Learning Engineer (all genders),Machine Learning Engineer,NFON,Arbeitnow API,2026-07-09,,,,Data & Analytics,"Your new role Build machine learning models that make it into production—not just notebooks. At botario, you'll develop the ML systems powering our AI Agents, taking ideas from initial experiments through training to reliable, scalable deployment. You'll work on cutting-edge AI use cases in a fast-moving environment where continuous learning and ownership are part of everyday work. The work you‘ll do Develop, train, and fine-tune deep learning models from early experimentation to production deployment. Explore the latest open-source developments and research, evaluate new models and architectu",0,"Machine Learning,Python,Deep Learning,AI Agents,Model training,Model deployment"
75,TouchDesigner Developer (m/f/d),TouchDesigner Developer,DARK MATTER gGmbH,Arbeitnow API,2026-07-09,,,,Frontend,"WHITEvoid is an art and design studio. Our work spans a wide range of innovative projects worldwide — from architecture and interior design to light installations, interactive exhibitions, and custom software solutions. We create unique, ambitious, and highly complex concepts for clubs, exhibitions, events, shows, and much more. The WHITEvoid team consists of specialists in art, architecture, design, mechanics, electronics, and software. Technology, innovation, and a spirit of experimentation drive us. We dare to think on a large scale and continuously push the boundaries of what is creatively",0,TouchDesigner
76,Cloud Engineer (m/w/d),Cloud Engineer,jemix GmbH,Arbeitnow API,2026-07-09,,,,DevOps & Cloud,Deine Aufgaben: Administration und Betrieb von Microsoft 365 und Google Workspace Cloud Services Lösung technischer Fachprobleme im Bereich M365 und Google Workspace (2nd Level) Planung und Durchführung von Migrationsprojekten (Cloud-to-Cloud & On-Premises-to-Cloud) Entwicklung und Implementierung kundenspezifischer Migrationsstrategien Überwachung der Verfügbarkeit und Leistung der Cloud-Dienste Dokumentation von Lösungen in der Wissensdatenbank & Schulungen für den 1st Level Support Unterstützung bei IT-Sicherheitsrichtlinien im M365- und Google Workspace-Umfeld Das solltest Du mitbringen: D,0,"Microsoft 365,Google Workspace,Cloud Migration,IT Security"
77,Werkstudent:in in der Softwareentwicklung,Werkstudent:in in der Softwareentwicklung,Codemeta GmbH,Arbeitnow API,2026-07-09,,,,Fullstack,"Du studierst Informatik oder etwas Verwandtes – und willst endlich an echten Produkten arbeiten statt an Übungsaufgaben? Dann bist du bei uns richtig. Wir sind die Codemeta GmbH, eine junge Firma aus Bitburg in der Eifel. Mit unserem neusten Produkt ""Codemeta OS"" stellen wir eine umfangreiche Plattform für IT-Dienstleister bereit - von Ticketsystem über Projektplanung bis hin zum Dokumentenmanagement. Da wir noch ein kleines Team sind, sind deine Aufgaben vielfältig und abwechslungsreich. Du kannst Einblicke in alle Bereiche von der Kundenbetreuung über die Entwicklung bis zum Betrieb / DevOps",0,"Softwareentwicklung,DevOps,IT-Betrieb"
78,"Senior Software Engineer, Core Experiences - Düsseldorf, Germany","Senior Software Engineer, Core Experiences",Speechify,Arbeitnow API,2026-07-09,,,,Fullstack,"Mission Speechify is the easiest way to listen to the world's information. Articles on the web, documents in the cloud, books on your phone. We absorb it all and let you listen to it at your desk, on the go, at your own speed, and with tools that make learning easier, deeper, and faster. What streaming services have done for audio entertainment, we're doing for audio information. And whatever we're doing seems to be working. We're #1 in our category, and experiencing exponential growth. Overview We're looking for a Senior Software Engineer to join our Core Experiences Team. This team builds an",0,
79,Product Marketing Manager:in - B2B Software (m/w/d),Product Marketing Manager,Soley GmbH,Arbeitnow API,2026-07-09,,,,Gestión & Agile,"Gestalte die Zukunft des Product Mining mit uns! Wir bei Soley verwandeln komplexe Produktdaten in umsetzbare Erkenntnisse, die Unternehmen helfen, schneller und smarter Entscheidungen zu treffen - von Lieferketten über Ressourcenmanagement bis hin zu nachhaltigem Wachstum. Mit unserem internationalen Team sind wir führend im SaaS-Bereich und suchen Menschen, die echten Impact schaffen wollen. Bei uns sitzt Marketing nicht am Ende der Kette. Du bist von Anfang an dabei: wenn Produkte entstehen, wenn Kunden gewonnen werden und wenn Argumente gebaut werden, die standhalten. Aufgaben Du übersetzt",0,"SaaS,Product Marketing"
80,Software Engineer (Fullstack) - AI Medical Software in Cloud (w/m/d),Software Engineer (Fullstack),deepeye Medical GmbH,Arbeitnow API,2026-07-09,,,,Fullstack,"What we are doing: Our mission is to prevent vision loss and ultimately blindness by developing software that assists eye doctors in therapy planning for their patients. By systematically analyzing thousands of historical clinical cases and millions of ocular images, our software identifies and predicts disease progression. Our cloud-based decision support targets common eye diseases such as Age-related Macular Degeneration (AMD, which affects 7.5 million people in Germany alone). Tasks What You’ll Do Full-scale development of medical software applications, in compliance with our medical Quali",0,Cloud Computing
81,Working Student Finance Data & Analytics (m/w/d),Working Student Finance Data & Analytics,Recare Deutschland GmbH,Arbeitnow API,2026-07-09,,,,Data & Analytics,"About Recare As one of the leading German HealthTech companies, we are reshaping discharge management, technology-driven, patient-centered, and free from bureaucracy. In addition to our market-leading SaaS platform, we develop AI solutions that radically simplify processes in hospitals and for aftercare providers, relieve healthcare professionals, and refocus attention on patients. Today, we already connect two-thirds of all German hospitals with over 650 rehabilitation clinics and 25,000 nursing and homecare providers. With currently around 100 employees, we continue to grow, and we are looki",0,
82,Full Stack Engineer,Full Stack Engineer,Nooxit GmbH,Arbeitnow API,2026-07-09,,,,Fullstack,"Nooxit is building the next generation of AI-powered finance process automation for medium and large enterprises. We're putting accounting on autopilot. Our software uses modern deep learning and NLP to free finance teams from repetitive document capturing, manual compliance reporting, and tedious accounting tasks — helping them save time, prevent fraud, and stay compliant with local financial regulations across the globe. Founded in 2019 and investor-backed, we're a remote-first company headquartered in Berlin with additional space in the Cologne area. Our diverse team brings backgrounds in c",0,"deep learning,NLP"
83,Trainee IT-Projektmanagement - Schwerpunkt Requirements Engineering/ Business Analyse*,Trainee IT-Projektmanagement - Schwerpunkt Requirements Engineering / Business Analyse,Haeger Consulting GmbH,Arbeitnow API,2026-07-09,,,,Gestión & Agile,"Was dich erwartet Du interessierst dich für IT, Softwareentwicklung und innovative Projekte? In unserem Traineeprogramm baust du ein solides Grundlagenwissen im Bereich Business Analyse auf und lernst wichtige Methoden und Vorgehensmodelle kennen. Nach Abschluss des Traineeprogramms startest du in Kundenprojekte und übernimmst eigenverantwortlich Aufgaben in spannenden Softwareentwicklungsprojekten. Das erwartet dich konkret im Traineeprogramm: Du lernst Softwareentwicklungsprozesse und Vorgehensmodelle wie Wasserfall und Scrum kennen. Du erarbeitest dir Kenntnisse in IREB-Methodik, UML, Daten",0,"Scrum,UML,IREB,Wasserfall"
84,Senior Python Entwickler*,Senior Python Developer,Haeger Consulting GmbH,Arbeitnow API,2026-07-09,,,,Backend,"Was dich erwartet Du konzipierst, entwickelst und optimierst anspruchsvolle Softwarelösungen im Enterprise-Umfeld. Du übernimmst die technische Verantwortung für Projekte und unterstützt Teams bei Architektur- und Technologieentscheidungen. Du entwickelst leistungsfähige Backend-Lösungen mit Python und modernen Frameworks. Du entwirfst skalierbare, wartbare und sichere Softwarearchitekturen und begleitest deren Umsetzung. Du konzipierst und implementierst Schnittstellen zur Integration von Anwendungen und Systemlandschaften. Du arbeitest eng mit Kunden, Product Ownern und Entwicklungsteams zus",0,Python
85,Cloud Engineer (m/w/d) mit Karriereambitionen!,Cloud Engineer,Auralis Group,Arbeitnow API,2026-07-09,,,4.0,DevOps & Cloud,"Wir sind ein fast zwei Jahre altes IT Unternehmen, aktuell 50 MA, und suchen nun weiterhin Verstärkung, um Cloud-Projekte bei unseren Kunden durchzuführen. Aufgaben Du willst: Deine Arbeitszeiten selbst bestimmen? von zuhause aus arbeiten (remote)? den nächsten Schritt in Deiner Karriere gehen und lernen, wie man Teams leitet und ein Unternehmen führt? einen Arbeitgeber, der Dich leistungs- und ergebnisorientiert bezahlt? Qualifikation Du: bist seit 4 Jahren in Vollzeit berufstätig im Bereich Softwareentwicklung/DevOps und hast große Teile Deiner Erfahrung in Cloud-Infrastrukturen und Deployme",0,"DevOps,Deployment,Software Development,Cloud Infrastructure"
86,Python-Entwickler (m/w/d) Datenextraktion (Ref.Nr.: 47164),Python Developer - Data Extraction,Wavestone Germany AG,Arbeitnow API,2026-07-09,,,,Data & Analytics,Wir suchen einen Senior Developer (ML/Data) zur Unterstützung bei der Entwicklung einer webbasierten Plattform zur automatisierten Extraktion und Verarbeitung von Dokumentendaten mittels Generativer KI. Das Projekt fokussiert sich auf die Steigerung der Produktivität und Qualität in administrativen Prozessen durch den Einsatz modernster Cloud-Services und Large Language Models. Key Facts Start: 22.07.2026 Dauer: Nicht bekannt Auslastung: 100 % Einsatzart: Einsatzort: Frankfurt am Main Einsatzland: Deutschland Ihre Aufgaben • Integration und Anpassung von Services zur Datenextraktion und Automa,0,"AI,Machine Learning,Python,Data,Cloud Services,Large Language Models,Data Extraction"
87,Senior AI Engineer | Agentic Systems (w/m/d),Senior AI Engineer,FlexIT Consulting GmbH,Arbeitnow API,2026-07-09,,,,Data & Analytics,"KI wirksam einsetzen – als Enabler für modernes Software Engineering. Künstliche Intelligenz verändert die Softwareentwicklung grundlegend. In dieser Rolle unterstützt du ein etabliertes Finanzunternehmen dabei, KI gezielt, verantwortungsvoll und mit messbarem Mehrwert einzusetzen – mit Fokus auf tragfähige Lösungen, die sich in bestehende Entwicklungsprozesse, Toolchains und regulierte Umgebungen integrieren lassen. Der Arbeitgeber ist im Finanzumfeld tätig (Brokerage) und war bzw. ist First Mover seiner Branche im Bereich Technology. Im Zentrum der Rolle steht der Aufbau eines modernen, KI-g",0,"Software Engineering,Artificial Intelligence,Agentic Systems,Toolchain Integration"
